date,caption,media_url
2020-11-23 19:50,Lazy play with squeaky ball while chiilaxing.,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/127034461_1863112910504185_4305945958093806991_n.jpg?_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=m65Wpx0PDCwAX-Sa8cs&tp=1&oh=d22f4891318baccfadf8afd3328d81a6&oe=600FD16C
2020-11-23 19:50,Lazy play with squeaky ball while chiilaxing.,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-15/e35/127034461_1863112910504185_4305945958093806991_n.jpg?_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_ohc=m65Wpx0PDCwAX-Sa8cs&tp=1&oh=133b03197cbbc4fe35c2844e2b4efd4b&oe=6010819C&ig_cache_key=MjQ0ODk3ODc5MTE3NTk1NjQwNg%3D%3D.2
2020-11-13 14:43,"Living my best life, playing with pals.
Tilly, Daisy, ziggy, Jasper, max plus rousso, molly and charlie not in the picture! #eurasierpuppy #vizslasofinstagram #frenchbulldog  #spanielsofinstagram",https://scontent-lht6-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124929688_2804731286437020_5580605312044138755_n.jpg?_nc_ht=scontent-lht6-1.cdninstagram.com&_nc_cat=100&_nc_ohc=Suk_VrN5nr4AX_6Ou0l&tp=1&oh=6cab74ea19eb233d4c604310e9ccead6&oe=600EDC58
2020-11-12 17:09,Trio of trouble😁 a brief rest after a good chase with Kobe and Mia ,https://scontent-lht6-1.cdninstagram.com/v/t51.2885-15/e35/124922217_211596363679935_1998237579875465236_n.jpg?_nc_ht=scontent-lht6-1.cdninstagram.com&_nc_cat=103&_nc_ohc=39gZzj7yW8wAX-KjEdM&tp=1&oh=91b83ef7bb78f29ee275e67229a8eddd&oe=60100973&ig_cache_key=MjQ0MDkyNTE5NjM2MjczNjUwNw%3D%3D.2
2020-11-08 18:43,Chilly paddle today,https://scontent-lht6-1.cdninstagram.com/v/t51.2885-15/e35/123758725_179775570443754_2635657972314103981_n.jpg?_nc_ht=scontent-lht6-1.cdninstagram.com&_nc_cat=106&_nc_ohc=bm-JyBsTZ-cAX_YjNIS&tp=1&oh=bad9ac0242922248cb7b4446c35693d3&oe=600C9F37&ig_cache_key=MjQzODA3MzM5MDY3NDk0NDYxOA%3D%3D.2
2020-11-04 18:19,"Percy met Rita today, a labradoodle who looks remarkably like a vizsla and had lots of fun running on the seawall",https://scontent-lht6-1.cdninstagram.com/v/t51.2885-15/e35/123657069_203284651361958_154224186828328776_n.jpg?_nc_ht=scontent-lht6-1.cdninstagram.com&_nc_cat=106&_nc_ohc=hGFlCrx4iXMAX-93Nqc&tp=1&oh=49b33a0cd5602bc4b30d5b4283c0845f&oe=600F674A&ig_cache_key=MjQzNTE2MTk5MTc0NTI1MzEzMQ%3D%3D.2
2020-10-29 21:57,Percy has been beautifully captured by hurcule.. https://www.justgiving.com/fundraising/portraitsbyhercule,https://scontent-lht6-1.cdninstagram.com/v/t51.2885-15/e35/123033748_129122141991504_7749198766094177490_n.jpg?_nc_ht=scontent-lht6-1.cdninstagram.com&_nc_cat=100&_nc_ohc=fkRntfVutbgAX8Geycu&tp=1&oh=b690e6bdb26e8df88bfa9a93eb080a5e&oe=60108D79&ig_cache_key=MjQzMDkyMzEwMzQwOTQ0NTg0Mw%3D%3D.2
2020-10-28 20:02,"Full posse this morning; Rousso, max, ziggy and jasper for a seawall canter",https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/e35/122829427_187126392963151_5679516400910923090_n.jpg?_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_ohc=GMiyCLL6-YwAX_nMAjF&tp=1&oh=df4587a85689b568ed04db8941509db2&oe=60100F72&ig_cache_key=MjQzMDE0MDcyMTkwNzM5NjQzOA%3D%3D.2
2020-10-26 12:59,Fun with Jasper and Penny this morning,https://scontent-lht6-1.cdninstagram.com/v/t51.2885-15/e35/122779230_357399145356219_4681235939746159193_n.jpg?_nc_ht=scontent-lht6-1.cdninstagram.com&_nc_cat=103&_nc_ohc=jKMTf2aUDYcAX9cvatG&tp=1&oh=bac2e8f4c09321197d359b2051807f0a&oe=600F2D5F&ig_cache_key=MjQyODQ3ODI3NDY3MDgxNTAxMg%3D%3D.2
2020-10-25 08:23,"Yesterday I met a Bentley, a vizsla who was bigger than I am, and I’m quite a big boy now (28kg) we had fun running around Hylands park. ",https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-15/e35/122512483_378285103323934_4432573195385211546_n.jpg?_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=110&_nc_ohc=42kluV3Xgz8AX98zZXB&tp=1&oh=3ac55aa17659b534389b874258aec83e&oe=600E6929&ig_cache_key=MjQyNzYxNDQxOTQ1OTU3MTU0OQ%3D%3D.2
